**Assume economy + 0-1 layovers,,,,,,,,
"**Assume April 21-25th, 2024",,,,,,,,
"**Assume fly in sunday evening, fly out thursday late afternoon/evening",,,,,,,,
"**Arrival Airports: Miami, Washington D.C., Philadelphia, and Toronto.",,,,,,,,
,,,,,,,,
City,State,Country,Departing Airport,Arrival Airport,Lower end of cost,Higher end of cost,Source 1 (for lower end),Source 2 (for upper end)
Toronto,Ontario,Canada,YYZ,MIA,,,,
Pittsburgh,Pennsylvania,United States,PIT,MIA,,,,
Saint Joseph,Missouri,United States,STJ,MIA,,,,
Staten Island,New York,United States,EWR,MIA,,,,
Cambridge,Massachusetts,United States,BOS,MIA,,,,
Pittsburgh,Pennsylvania,United States,PIT,MIA,,,,
New York,New York,United States,JFK,MIA,,,,
Needham,Massachusetts,United States,BOS,MIA,,,,
Austin,Texas,United States,AUS,MIA,,,,
Manhattan Beach,California,United States,LAX,MIA,,,,
Houston,Texas,United States,IAH,MIA,,,,
Providence,Utah,United States,PVD,MIA,,,,
Pasadena,California,United States,LAX,MIA,,,,
San Francisco,California,United States,SFO,MIA,,,,
Sacramento,California,United States,SMF,MIA,,,,
Denver,Colorado,United States,DEN,MIA,,,,
Syracuse,New York,United States,SYR,MIA,,,,
New York,New York,United States,JFK,MIA,,,,
Houston,Texas,United States,IAH,MIA,,,,
Portland,Oregon,United States,PDX,MIA,,,,
Neuchâtel,Neuchâtel,Switzerland,ZRH,MIA,,,,
Fursternfeldbruck,Bayern,Germany,MUC,MIA,,,,
Cerdanyola del Valles,Barcelona [Barcelona],Spain,BCN,MIA,,,,
High Wycombe,England,United Kingdom,LHR,MIA,,,,
Manchester,England,United Kingdom,MAN,MIA,,,,
London,England,United Kingdom,LHR,MIA,,,,
Mexico City,México,Mexico,MEX,MIA,,,,
Mexico City,México,Mexico,MEX,MIA,,,,
Antigonish,Nova Scotia,Canada,YYG,MIA,,,,
Montreal,Quebec,Canada,YUL,MIA,,,,
Ottawa,Ontario,Canada,YOW,MIA,,,,
Poznan,Wielkopolskie,Poland,POZ,MIA,,,,
Providence,Rhode Island,United States,PVD,MIA,,,,
Santa Barbara,California,United States,SBA,MIA,,,,
San Diego,California,United States,SAN,MIA,,,,
Saint John,New Brunswick,Canada,YSJ,MIA,,,,
Berlin,Berlin,Germany,TXL,MIA,,,,
Portland,Oregon,United States,PDX,MIA,,,,
Somerville,Massachusetts,United States,BOS,MIA,,,,
Los Angeles,California,United States,LAX,MIA,,,,
Vaughan,Ontario,Canada,YYZ,MIA,,,,
Colbert,Washington,United States,GEG,MIA,,,,
Spruce Grove,Alberta,Canada,YEG,MIA,,,,
Ilford,England,United Kingdom,STN,MIA,,,,
Kilmarnock,Scotland,United Kingdom,GLA,MIA,,,,
New York,New York,United States,JFK,MIA,,,,
London,England,United Kingdom,LHR,MIA,,,,
Prague,"Praha, Hlavní město",Czechia,PRG,MIA,,,,
Austin,Texas,United States,AUS,MIA,,,,
Springfield,Illinois,United States,SPI,MIA,,,,
San Jose,California,United States,SJC,MIA,,,,
Boulder,Colorado,United States,DEN,MIA,,,,
Brooklyn,New York,United States,JFK,MIA,,,,
Philadelphia,Pennsylvania,United States,PHL,MIA,,,,
Dallas,Texas,United States,DFW,MIA,,,,
Lawrence,Kansas,United States,MCI,MIA,,,,
Troy,Michigan,United States,DTW,MIA,,,,
Seattle,Washington,United States,SEA,MIA,,,,
Goleta,California,United States,SBA,MIA,,,,
Seattle,Washington,United States,SEA,MIA,,,,
Chapel Hill,North Carolina,United States,RDU,MIA,,,,
Somerville,Massachusetts,United States,BOS,MIA,,,,
Austin,Texas,United States,AUS,MIA,,,,
Swannanoa,North Carolina,United States,AVL,MIA,,,,
Cary,North Carolina,United States,RDU,MIA,,,,
Yardley,Pennsylvania,United States,PHL,MIA,,,,
Frankfurt am Main,Hessen,Germany,FRA,MIA,,,,
Barcelona,Barcelona [Barcelona],Spain,BCN,MIA,,,,
Barcelona,Barcelona [Barcelona],Spain,BCN,MIA,,,,
Cape Town,Western Cape,South Africa,CPT,MIA,,,,
Coquitlam,British Columbia,Canada,YVR,MIA,,,,
Vancouver,British Columbia,Canada,YVR,MIA,,,,
Burnaby,British Columbia,Canada,YVR,MIA,,,,
Toronto,Ontario,Canada,YYZ,MIA,,,,
New York,New York,United States,JFK,MIA,,,,
